ID,code,name,description,active
10000000-0000-0000-0000-000000000001,FUEL,Fuel,Aircraft fuel,true
10000000-0000-0000-0000-000000000002,HOTEL,Hotel,Crew accommodation,true
10000000-0000-0000-0000-000000000003,FBO,FBO and Ground Handling,FBO and ground handling services,true
10000000-0000-0000-0000-000000000004,PER_DIEM,Per Diem,Crew per diem expenses,true
10000000-0000-0000-0000-000000000005,TRANSPORT,Transportation,Taxis and ground transportation,true
10000000-0000-0000-0000-000000000006,FEES,Fees,Airport and administrative fees,true
10000000-0000-0000-0000-000000000007,CATERING,Catering,Food beverages and catering,true
10000000-0000-0000-0000-000000000008,TIPS,Tips,Operational tips,true
10000000-0000-0000-0000-000000000009,TOWING,Towing,Aircraft towing services,true
10000000-0000-0000-0000-000000000010,MISC,Miscellaneous,Expenses not included in another category,true
